0,05;113,266
0,06;112,999
0,07;112,134
0,08;111,36
0,09;117,294
0,1;111,123
0,11;114,178
0,12;110,4
0,13;113,412
0,14;115,202
0,15;114,194
0,16;110,321
0,17;112,236
0,18;112,242
0,19;113,365
0,2;112,223
0,21;113,303
0,22;114,344
0,23;112,294
0,24;115,407
0,25;116,218
0,26;112,273
0,27;114,178
0,28;119,196
0,29;126,185
0,3;115,331
0,31;111,319
0,32;113,347
0,33;114,241
0,34;111,151
0,35;112,219
0,36;111,406
0,37;111,12
0,38;111,44
0,39;112,322
0,4;112,352
0,41;114,414
0,42;114,259
0,43;111,299
0,44;112,087
0,45;116,339
0,46;111,277
0,47;112,219
0,48;113,283
0,49;112,335
0,5;115,098
0,51;114,331
0,52;110,345
0,53;117,138
0,54;112,162
0,55;111,331
0,56;123,141
0,57;116,177
0,58;112,11
0,59;120,289
0,6;110,326
0,61;109,35
0,62;113,379
0,63;111,105
0,64;112,189
0,65;116,117
0,66;128,883
0,67;110,185
0,68;116,283
0,69;110,187
0,7;115,177
0,71;115,367
0,72;110,057
0,73;112,299
0,74;113,38
0,75;113,217
0,76;114,217
0,77;110,424
0,78;111,209
0,79;111,214
0,8;113,136
0,81;109,234
0,82;110,394
0,83;110,286
0,839999;112,374
0,849999;115,108
0,859999;110,204
0,869999;112,175
0,879999;111,278
0,889999;110,272
0,899999;115,176
0,909999;112,231
0,919999;113,284
0,929999;111,324
0,939999;112,302
0,949999;115,151
0,959999;110,387
0,969999;113,114
0,979999;111,408
0,989999;110,272
0,999999;114,145
